X,Y,time
0.50036549745984,0.500095568593612,0.062688827514649
0.50083923854057,0.500195811948824,0.074682474136353
0.501457561120404,0.500297958580824,0.089016199111939
0.502165588249901,0.500399990760848,0.100179195404053
0.502931454719612,0.500501833839675,0.111958503723145
0.503724999944905,0.50060454934282,0.125180959701538
0.504483324519665,0.500706681036527,0.139611721038818
0.5052211566431,0.500807660166428,0.151890993118286
0.505955742968271,0.500908272309003,0.165592432022095
0.506698558839932,0.501008643170519,0.177648782730103
0.507455741113438,0.501108806198314,0.193510055541992
0.508230898271462,0.501208816969932,0.206470012664795
0.509032892858117,0.501316620276583,0.217379570007324
0.509858853676331,0.501456623647683,0.229192733764648
0.510647661545955,0.501559735113459,0.240961790084839
0.511394869748123,0.501663189064727,0.254417896270752
0.512129479168358,0.501766766101652,0.265629768371582
0.512866369054239,0.501870367614193,0.277473926544189
0.513613038644768,0.501973960022215,0.29003643989563
0.514377723380538,0.502077459000718,0.302418947219849
0.515162820914669,0.502180814170544,0.313357830047607
0.515970140439842,0.502283973545302,0.325448036193848
0.51680127778757,0.502386881013113,0.339223623275757
0.517602290088566,0.502489892053674,0.350409507751465
0.518360987429089,0.502593173412904,0.362088680267334
0.519106807740553,0.502696550018303,0.374113798141479
0.519855525502911,0.502799934022894,0.387971639633179
0.520615880932437,0.502903260203842,0.399544715881348
0.521393089518119,0.503006471945419,0.411179780960083
0.522190542761615,0.503109514734096,0.424002885818482
0.523010723828534,0.503212332457799,0.438317060470581
0.523794525393175,0.503315073161424,0.449697494506836
0.524538065507082,0.503418137674,0.461586475372314
0.52526974296673,0.50352133021715,0.474742889404297
0.526003667492116,0.503624621469205,0.489063024520874
0.526748799171278,0.503727862386591,0.500157594680786
0.527510820691634,0.503830987446029,0.512481212615967
0.528293332371245,0.503933974333671,0.526657342910767
0.52909803496655,0.50403677151263,0.539618253707886
0.529926463594703,0.504139323404719,0.551468133926392
0.530723974565433,0.504241954055214,0.562593221664429
0.531479468402657,0.504344865593515,0.574413776397705
0.53222221499362,0.504447880430206,0.588289737701416
0.532967869835811,0.504550910571402,0.599831581115723
0.533725092106088,0.504653890944061,0.611458778381348
0.534499045198573,0.504756765073992,0.624118089675903
0.535293084675998,0.504859478774345,0.637830495834351
0.536109664594906,0.504961976422847,0.649477005004883
0.536889135442619,0.505064362975811,0.661457538604736
0.537628095806315,0.505167123179982,0.67332935333252
0.538354426267282,0.50527004347205,0.685778856277466
0.539084013384022,0.505372960685009,0.696662664413452
0.539826482742877,0.505475853674056,0.708385467529297
0.540586015509242,0.505578669355595,0.722408771514893
0.541365275026365,0.505681357156541,0.733441591262817
0.542166215570401,0.505783865754641,0.745214462280273
0.542990494095854,0.505886140364047,0.756170272827148
0.543782060158677,0.505988401537096,0.767658472061157
0.544532198545208,0.506090963336511,0.778875112533569
0.545269874412842,0.506193641249799,0.790462017059326
0.546010525979893,0.506296346859064,0.804557085037231
0.546762366946363,0.506399032587533,0.81654167175293
0.547530161969101,0.50650165323081,0.828455924987793
0.548317438885567,0.506604079808394,0.840993165969849
0.5491277146915,0.506706304709089,0.85484766960144
0.54996229272575,0.506808270506329,0.866610050201416
0.550768317444112,0.506910411732677,0.878486394882202
0.551531715528564,0.507012805912635,0.88984227180481
0.552282100532905,0.507115285031956,0.904077529907227
0.553035379075472,0.507217762813401,0.915178775787354
0.553800389722898,0.507320174270979,0.927080154418945
0.554582414473248,0.507422462640696,0.940418720245361
0.555384890544737,0.507524572891803,0.954280138015747
0.556210339173892,0.507626448052724,0.965493202209473
0.557000850724246,0.507728312810163,0.977460622787476
0.557750581462707,0.507830477068471,0.991863250732422
0.558488236159917,0.507932755852813,1.00573921203613
0.559229083433308,0.50803506152819,1.01687741279602
0.559981547878315,0.508137329634829,1.02861595153809
0.560750643387772,0.508239503990129,1.04105997085571
0.561539399924607,0.508341542122176,1.05523824691772
0.562349810885354,0.508443407737918,1.066570520401
0.563183449392476,0.508544969720521,1.07865738868713
0.563989076313287,0.50864670750587,1.0927197933197
0.564752433562811,0.508748693856585,1.10589504241943
0.565502970870301,0.508850763558796,1.11701655387878
0.566256509910416,0.508952831007215,1.1284875869751
