displacement,time
0.0,0.0
0.0007998832768143983,1.0
0.002624436907901037,2.0
0.003894251993468452,3.0
0.005484021467388478,4.0
0.007226077835815918,5.0
0.009188494806086148,6.0
0.01096880488420992,7.0
0.013017783268268539,8.0
0.015154448776854429,9.0
0.01718658907680483,10.0
0.019115324574729732,11.0
0.021018703902211677,12.0
0.023333169889814886,13.0
0.025276196351863355,14.0
0.027331274882507264,15.0
0.029452246773459687,16.0
0.031453157485616584,17.0
0.03309907026353452,18.0
0.03546543077839572,19.0
0.037460981521899604,20.0
0.03921264958420784,21.0
0.04147150898705548,22.0
0.04344468289536928,23.0
0.04524350399172748,24.0
0.04727736560490648,25.0
0.04934417605273864,26.0
0.05122136395030737,27.0
0.053239247457817274,28.0
0.05524629775431336,29.0
0.057357056837871366,30.0
0.059107787051233346,31.0
0.06140484703549668,32.0
0.06333818800048903,33.0
0.0654037729493891,34.0
0.06751096935131837,35.0
0.06946003591542747,36.0
0.07138826021650896,37.0
0.0735773178054471,38.0
0.07557206512415526,39.0
0.07738252893977351,40.0
0.07962098547351534,41.0
0.08162464077351489,42.0
0.08346683773733422,43.0
0.08565413326147124,44.0
0.08762528350109486,45.0
0.08946946483861563,46.0
0.09152129690083241,47.0
0.0935803730042957,48.0
0.09565195758979464,49.0
0.09747422046548657,50.0
0.09968524853925632,51.0
0.10167940381511531,52.0
0.10338384810178951,53.0
0.1056827820837408,54.0
0.10763501631177422,55.0
0.10958137205151389,56.0
0.11139228738369952,57.0
0.11363909870149504,58.0
0.11564554083297424,59.0
0.11753131512587947,60.0
0.11968194315395168,61.0
0.1216557679863962,62.0
0.12348126064734778,63.0
0.12560160383671878,64.0
0.1276859728957539,65.0
0.1295477266701466,66.0
0.1316308470232071,67.0
0.13368554588298942,68.0
0.13563846629320836,69.0
0.13750659803712095,70.0
0.13956478643210768,71.0
0.14165636940225837,72.0
0.14358431994392878,73.0
0.14566360721314453,74.0
0.14757814316148443,75.0
0.14953393914220814,76.0
0.15168859566148415,77.0
0.15352946725465155,78.0
0.15564228705261846,79.0
0.15751335516307532,80.0
0.15943266365059003,81.0
0.16165707920305775,82.0
0.1634464196866522,83.0
0.16566620125658288,84.0
0.1675874241850073,85.0
0.16963200581849236,86.0
0.17173772847844565,87.0
0.1736542710394847,88.0
0.17560545508486894,89.0
0.1777485615653403,90.0
0.17970991421630225,91.0
0.18164999458413894,92.0
0.1836580670173327,93.0
0.18577498940857,94.0
0.1877919649218755,95.0
0.18954670819062,96.0
0.19178538095602388,97.0
0.193781042520983,98.0
0.19567041294360887,99.0
0.19773710171953504,100.0
0.19988197762848306,101.0
0.20181882838309856,102.0
0.20387377375330096,103.0
0.20596183944540503,104.0
0.2079594672216412,105.0
0.2096782231127585,106.0
0.21202224305310163,107.0
0.2140278979210762,108.0
0.21587227809747758,109.0
0.21806254236796116,110.0
0.22004599450682,111.0
0.2220264975573253,112.0
0.2238375118456497,113.0
0.22609329094934072,114.0
0.22811193415540348,115.0
0.23002514798522866,116.0
0.23218836048580832,117.0
0.2341935927322953,118.0
0.23598944884034825,119.0
0.2382197468674616,120.0
0.24019834243071478,121.0
0.2420581593155494,122.0
0.2441096748423006,123.0
0.24620407963188135,124.0
0.24817763366755113,125.0
0.25002734425223616,126.0
0.25203642460678993,127.0
0.2541463332355418,128.0
0.2560093240391748,129.0
0.2581653757168778,130.0
0.2602364443697786,131.0
0.26209413743708804,132.0
0.264151522646272,133.0
0.26629088661543443,134.0
0.26828200353586373,135.0
0.270133317266727,136.0
0.2721507359892879,137.0
0.27436271085571046,138.0
0.2762367298640205,139.0
0.27846493638372494,140.0
0.2803178667526205,141.0
0.28236676719495735,142.0
0.2845257428116024,143.0
0.28652682877926194,144.0
0.2884174100904598,145.0
0.29059011502770105,146.0
0.29256994687012716,147.0
0.2945955014376739,148.0
0.2963545877663964,149.0
0.29857289072429516,150.0
0.3005873725785167,151.0
0.3022308563819829,152.0
0.30465959729923997,153.0
0.306663783356646,154.0
0.3085056048436144,155.0
0.31068960660482914,156.0
0.3126673755353277,157.0
0.3144383130993915,158.0
0.316563527985244,159.0
0.3185918829575019,160.0
0.3205191203656283,161.0
0.3222332190230041,162.0
0.32452291013403367,163.0
0.32650150785720833,164.0
0.32830192869628433,165.0
0.33039226772058833,166.0
0.3324428721449344,167.0
0.33437498780055314,168.0
0.3361101659117742,169.0
0.3383924842021398,170.0
0.3403750759717485,171.0
0.34205530218918967,172.0
0.3442714729689487,173.0
0.34634159058993014,174.0
0.34831074545842516,175.0
0.3502635508346598,176.0
0.3521240572782099,177.0
0.35434877477167465,178.0
0.3561660378688024,179.0
0.35824939169867154,180.0
0.36017345069016404,181.0
0.3623302949599566,182.0
0.3642519296032843,183.0
0.3662311210645476,184.0
0.36816111201425544,185.0
0.3702126120553772,186.0
0.3723207491206489,187.0
0.3742563854152067,188.0
0.37633372230206424,189.0
0.3782505820154015,190.0
0.38021915492386993,191.0
0.38239341718977815,192.0
0.3843181472347971,193.0
0.3862642059099236,194.0
0.3883679150117657,195.0
0.39031522193378543,196.0
0.3921438142658803,197.0
0.39422536752736415,198.0
0.39637751865386445,199.0
0.3982971512980372,200.0
0.4002448840422819,201.0
0.40241911832370314,202.0
0.4043926680405109,203.0
0.406248006452837,204.0
0.4084348948839262,205.0
0.4103677618988914,206.0
0.4119803911064235,207.0
0.4143062285553065,208.0
0.4160868523380745,209.0
0.41791547091743486,210.0
0.42005544944751255,211.0
0.422050491539759,212.0
0.4240210810567035,213.0
0.4258676382310717,214.0
0.4279264535814384,215.0
