displacement,time
0.0,0.0
0.0007234629796175924,1.0
0.001935410159197959,2.0
0.003489042285314274,3.0
0.005034164376973257,4.0
0.007871903372151103,5.0
0.008547636449899823,6.0
0.010369906125462923,7.0
0.01261875502309055,8.0
0.016074330217548508,9.0
0.01579747928204921,10.0
0.020133309385435817,11.0
0.02018179007262922,12.0
0.024088806078580067,13.0
0.026130361494602006,14.0
0.02704903590844898,15.0
0.027830648641549934,16.0
0.032671709092748615,17.0
0.03532355275886408,18.0
0.036418320880282073,19.0
0.03568347552609468,20.0
0.03791510893723083,21.0
0.03954806382664954,22.0
0.04314014106176318,23.0
0.045881292874442675,24.0
0.04953634374813995,25.0
0.04777685176734133,26.0
0.051214252610514974,27.0
0.05304618221560621,28.0
0.05335506230671919,29.0
0.057839776236165624,30.0
0.05813653444079645,31.0
0.06493277580345086,32.0
0.06331463516667327,33.0
0.06339843665646006,34.0
0.0711555367909326,35.0
0.06711479568730552,36.0
0.07461964753861672,37.0
0.07433696704811373,38.0
0.07724044197840545,39.0
0.0778620522976776,40.0
0.08034779819259558,41.0
0.0815502983130227,42.0
0.08110561883030817,43.0
0.08654904611235681,44.0
0.08491072025775005,45.0
0.09470793097812845,46.0
0.09072339540463596,47.0
0.09704301215397065,48.0
0.1011271079644876,49.0
0.09499737757155916,50.0
0.09670108999121266,51.0
0.10712493528042526,52.0
0.10072535766928482,53.0
0.10544716882434128,54.0
0.11350007723269112,55.0
0.10661199045651451,56.0
0.10887469930382838,57.0
0.11998433331041902,58.0
0.11407078270748552,59.0
0.11485997156899831,60.0
0.11686766233897788,61.0
0.1182769802902893,62.0
0.1322575302948038,63.0
0.1289692538851187,64.0
0.13000930130971936,65.0
0.1350689949522672,66.0
0.13456275650176452,67.0
0.13088219366207351,68.0
0.13206767601695052,69.0
0.1459938478377285,70.0
0.14761479395820518,71.0
0.1385047347216494,72.0
0.15132530902424654,73.0
0.14262284152995694,74.0
0.1482175238644047,75.0
0.15229024920711437,76.0
0.16155500334787484,77.0
0.16171644726460582,78.0
0.15916436754023724,79.0
0.15458301524558504,80.0
0.16839294936821464,81.0
0.16850319781345427,82.0
0.16285882564490206,83.0
0.17454091261417423,84.0
0.16971786499089006,85.0
0.17214764994546863,86.0
0.17125495690527873,87.0
0.1769776976880661,88.0
0.1737692599675577,89.0
0.1888694974184815,90.0
0.1902265315173622,91.0
0.18916042475640812,92.0
0.1794192174883973,93.0
0.19772589371062094,94.0
0.19954596502310284,95.0
0.1948473198846905,96.0
0.19637391061906165,97.0
0.19559421371615668,98.0
0.19414636082970202,99.0
0.20973615407862714,100.0
0.20424995851965266,101.0
0.19813459385291463,102.0
0.1986968378503422,103.0
0.20141189929453085,104.0
0.21541593466934958,105.0
0.22187156351314474,106.0
0.2225051280509086,107.0
0.21050287659670608,108.0
0.2109411135611087,109.0
0.22328996192991307,110.0
0.23032008424454187,111.0
0.23321157883102617,112.0
0.22208860110293238,113.0
0.2304104475004106,114.0
0.2420969193173036,115.0
0.22378645950230724,116.0
0.23806832530079602,117.0
0.24731705000004697,118.0
0.24178053907865044,119.0
0.23264355680533882,120.0
0.23397870092543738,121.0
0.2363676308937019,122.0
0.2447122718998091,123.0
0.248277768525222,124.0
0.2632408835903153,125.0
0.2453883727603921,126.0
0.26624827508683824,127.0
0.2519223325903572,128.0
0.2544802589021794,129.0
0.27411761180278943,130.0
0.2598287357669023,131.0
0.2719757950475115,132.0
0.25760766369669,133.0
0.2620171687431762,134.0
0.2818286202984107,135.0
0.28271774790362725,136.0
0.28772891079827384,137.0
0.2820479461714502,138.0
0.2940968715647472,139.0
0.2784259589835956,140.0
0.2737726374780734,141.0
0.29858884544339365,142.0
0.2782519240308058,143.0
0.28604169179353073,144.0
0.29611759996789383,145.0
0.29660417204281136,146.0
0.28647402470133015,147.0
0.295198637374354,148.0
0.31053649090496893,149.0
0.30448723492328145,150.0
0.3119428043759681,151.0
0.2967238703489763,152.0
0.30602620424586374,153.0
0.308775275675206,154.0
0.3047340998422945,155.0
0.30622711536259223,156.0
0.3070043691340161,157.0
0.33238497635824477,158.0
0.3093151524326943,159.0
0.32475457871015995,160.0
0.3369205506806779,161.0
0.31605431725209737,162.0
0.32069750045637774,163.0
0.3291914605829166,164.0
0.3494387984296726,165.0
0.34285853364859953,166.0
0.35266088213455316,167.0
0.33823070308795106,168.0
0.353666830215413,169.0
0.34680836884151073,170.0
0.34623147115186287,171.0
0.33452010411044963,172.0
0.3358502492724777,173.0
0.359311704234459,174.0
0.36189373689444765,175.0
0.34870960929636924,176.0
0.36499063798715486,177.0
0.3588212106689788,178.0
0.37816005889990056,179.0
0.3523124778654303,180.0
0.3687649659341817,181.0
0.35543432968810107,182.0
0.36277441361782947,183.0
0.3767839868255938,184.0
0.3749451772803213,185.0
0.3720674278591337,186.0
0.3888545964750489,187.0
0.3784278770400681,188.0
0.3995956108888393,189.0
0.36929283559745113,190.0
0.37387950577662066,191.0
0.3759757809805759,192.0
0.38536046210823377,193.0
0.4057143828362246,194.0
0.3896532515557188,195.0
0.3934600708910519,196.0
0.410116381547301,197.0
0.41784185236402116,198.0
0.38957140222981596,199.0
0.3946752767654057,200.0
0.3980905550268521,201.0
0.42632634305809897,202.0
0.41081607574424783,203.0
0.4314610311774569,204.0
0.4292469904620385,205.0
0.40733936857384107,206.0
0.4033766525329556,207.0
0.43923368404406365,208.0
0.4066948740513101,209.0
0.44597411888805977,210.0
0.44617931438072866,211.0
0.44748661958601593,212.0
0.41685966537652397,213.0
0.4244424666169704,214.0
