Yaw_change,time
0.0,0.0
0.022447165983991522,1.0
0.042809299038722846,2.0
0.06745644769079398,3.0
0.09303963289822657,4.0
0.11814800408879851,5.0
0.1481086872475388,6.0
0.17689307148605996,7.0
0.20494770919342953,8.0
0.22941105851658913,9.0
0.25616774956725874,10.0
0.2835034571326042,11.0
0.3094206330539808,12.0
0.3403458213922764,13.0
0.36701466372990765,14.0
0.39241665473918413,15.0
0.4220555205949533,16.0
0.45108856159619115,17.0
0.48002788529301815,18.0
0.5086596482829563,19.0
0.5373621082877273,20.0
0.5648257664134312,21.0
0.594825158980383,22.0
0.6235659929587329,23.0
0.6507428083310578,24.0
0.6813835283043237,25.0
0.7102391772417603,26.0
0.7367512910315935,27.0
0.7686155932355694,28.0
0.7968408018171158,29.0
0.8269748855181901,30.0
0.8553702684442311,31.0
0.8844188148685519,32.0
0.9150168781516729,33.0
0.9432091142240656,34.0
0.9741649429541644,35.0
1.0040294218668142,36.0
1.0319019803846268,37.0
1.0632097095255304,38.0
1.0919040916501848,39.0
1.1207926132560901,40.0
1.1544872033891174,41.0
1.183500994159298,42.0
1.2134673152509152,43.0
1.2404174143532087,44.0
1.27142915406211,45.0
1.3004294414158604,46.0
1.3315971234047925,47.0
1.3578887552567522,48.0
1.3868306207921448,49.0
1.4169179730334196,50.0
1.442321516225279,51.0
1.4709966014197666,52.0
1.4986966018798478,53.0
1.5230287690592055,54.0
1.5490548794360544,55.0
1.5729221674224465,56.0
1.5969006124856777,57.0
1.6204782347514617,58.0
1.650947658130617,59.0
1.6764537667321369,60.0
1.7028986376982571,61.0
1.7315603127870196,62.0
1.7602051701690393,63.0
1.7899527109187172,64.0
1.8168895023098846,65.0
1.845271954779097,66.0
1.8746259766655988,67.0
1.902077808019251,68.0
1.9305404965080812,69.0
1.9594378022140506,70.0
1.98743769580443,71.0
2.01594514935951,72.0
2.0429685219191644,73.0
2.07302937157088,74.0
2.1016524135861947,75.0
2.128831488631612,76.0
2.158997134154371,77.0
2.187773462842526,78.0
2.2150880811193803,79.0
2.245473966627658,80.0
2.2744127895496735,81.0
2.302399458189479,82.0
2.332640046311613,83.0
2.3618765702175524,84.0
2.3904441355378627,85.0
2.4156308469160135,86.0
2.44600408363761,87.0
2.475414506843162,88.0
2.50324170939462,89.0
2.531794267861656,90.0
2.5551519266347915,91.0
2.5844586657609683,92.0
2.6151984404687263,93.0
2.6454868685144666,94.0
2.674083763071345,95.0
2.7049069420591563,96.0
2.733804894294841,97.0
2.7481388136920004,98.0
2.7780832983362904,99.0
2.80707188294214,100.0
2.845393769107174,101.0
2.8762665885065304,102.0
2.9072614534482852,103.0
2.9360089933214057,104.0
2.9635937755630373,105.0
2.996807079177934,106.0
3.0222859668503377,107.0
3.0303041753402296,108.0
3.0553362080795043,109.0
3.0761280445195736,110.0
3.0904506914432446,111.0
3.119276712150348,112.0
3.1393335232808233,113.0
3.1650989038569253,114.0
3.1899316098921,115.0
3.2142260274426198,116.0
3.236949584448747,117.0
3.266692416823079,118.0
3.2911469917985725,119.0
3.319061210368565,120.0
