Lin_Vel,Ang_Vel,Yaw_change,time
0.0,0.0,0.0,0.0
0.007917203940451145,0.18427884578704834,0.022056314911565778,1.0
0.013456395827233791,0.25614720582962036,0.056517592557962376,2.0
0.01668974757194519,0.3214344382286072,0.1001894563835826,3.0
0.017868902534246445,0.37029123306274414,0.15009826989383274,4.0
0.018319178372621536,0.410658597946167,0.2051265591778537,5.0
0.019282829016447067,0.4680936336517334,0.2687890719811414,6.0
0.020589450374245644,0.5367505550384521,0.3411669015938403,7.0
0.021541554480791092,0.5985398888587952,0.42166340025284166,8.0
0.022343207150697708,0.6682863831520081,0.5120035256116421,9.0
0.022916927933692932,0.7545552253723145,0.6143155837370415,10.0
0.024391544982790947,0.8348150849342346,0.7262828407253858,11.0
0.023764394223690033,0.9091383814811707,0.8482373857332947,12.0
0.025522621348500252,1.0,0.9829337387416651,13.0
0.025965701788663864,1.0,1.1175343424999,14.0
0.02436741068959236,1.0,1.251596591889265,15.0
0.022007238119840622,1.0,1.3857461838670542,16.0
0.021116778254508972,1.0,1.5195151060012806,17.0
0.018861880525946617,1.0,1.6456239009663831,18.0
0.014872867614030838,1.0,1.7814429784760817,19.0
0.01590786874294281,1.0,1.91539798670914,20.0
0.015290208160877228,1.0,2.0490978403382316,21.0
0.012756126001477242,1.0,2.186245153133683,22.0
0.00939417164772749,1.0,2.3233934270902306,23.0
0.012623211368918419,1.0,2.457575155189665,24.0
0.006536302622407675,1.0,2.5922028638736525,25.0
0.005464693997055292,1.0,2.726975327277701,26.0
0.003601048607379198,1.0,2.861298532239138,27.0
0.0023388732224702835,1.0,2.996340143491756,28.0
0.0011240513995289803,1.0,3.1288631461794503,29.0
-0.000592818483710289,1.0,3.257939573448466,30.0
-0.0031917979940772057,1.0,3.393170813095736,31.0
-0.003928586840629578,1.0,3.528554636790286,32.0
-0.0030314624309539795,1.0,3.6635101718809278,33.0
-0.004839516244828701,1.0,3.7979362255555236,34.0
-0.006250862032175064,1.0,3.933222517723193,35.0
-0.0075544267892837524,1.0,4.067864580497718,36.0
-0.00881308875977993,1.0,4.202634149105716,37.0
-0.009408874437212944,1.0,4.336295931184318,38.0
-0.010480266064405441,1.0,4.471659129174661,39.0
-0.011317292228341103,1.0,4.606658970821382,40.0
-0.011804671958088875,1.0,4.735050066710061,41.0
-0.012882377952337265,1.0,4.869267759925247,42.0
-0.013540800660848618,1.0,5.004118642404245,43.0
-0.015761978924274445,1.0,5.1387781347141,44.0
-0.016085557639598846,1.0,5.271723214497954,45.0
-0.016532186418771744,1.0,5.404190441240253,46.0
-0.017425870522856712,1.0,5.535324822411158,47.0
-0.01946977525949478,1.0,5.668614418233572,48.0
-0.018546873703598976,1.0,5.801468962847267,49.0
-0.02010500617325306,1.0,5.9347280232752615,50.0
-0.020702101290225983,1.0,6.069264153244124,51.0
-0.020463978871703148,1.0,6.202095984177508,52.0
-0.02184375748038292,1.0,0.04569503166120187,53.0
0.03832467645406723,0.5123962759971619,0.11447707119768685,54.0
0.023415859788656235,0.42590320110321045,0.17199424486961992,55.0
