Lin_Vel,Ang_Vel,Yaw_change,time
0.0,0.0,0.0,0.0
-0.014664717018604279,-0.20154188573360443,0.024734405803144056,1.0
-0.02448759227991104,-0.2975328862667084,0.06384484836912092,2.0
-0.03130364790558815,-0.3763825297355652,0.11440561434961331,3.0
-0.039473146200180054,-0.47055888175964355,0.17707127354131832,4.0
-0.04260140657424927,-0.5318081974983215,0.24890164725128486,5.0
-0.0495486855506897,-0.6212284564971924,0.3322820360590375,6.0
-0.05471684783697128,-0.7056230306625366,0.427808368444021,7.0
-0.06075003743171692,-0.799908459186554,0.5355205431193026,8.0
-0.0677744522690773,-0.8977806568145752,0.6562728937671101,9.0
-0.07241547852754593,-0.993901252746582,0.7882163594521767,10.0
-0.07756927609443665,-1.0,0.9228005765885007,11.0
-0.0801711156964302,-1.0,1.0583916797622854,12.0
-0.08093420416116714,-1.0,1.1912017182464179,13.0
-0.08402697741985321,-1.0,1.326635629936997,14.0
-0.09025324881076813,-1.0,1.459745858535329,15.0
-0.08811281621456146,-1.0,1.588037123681321,16.0
-0.08798082172870636,-1.0,1.7186465550715668,17.0
-0.08924658596515656,-1.0,1.853721426214292,18.0
-0.08999039232730865,-1.0,1.9880761701355933,19.0
-0.09370895475149155,-1.0,2.1223142297763897,20.0
-0.09258804470300674,-1.0,2.25796677268948,21.0
-0.09284663200378418,-1.0,2.392335768804472,22.0
-0.0917481854557991,-1.0,2.5260524877968384,23.0
-0.09403112530708313,-1.0,2.6609507383980566,24.0
-0.09390898793935776,-1.0,2.7959707722842664,25.0
-0.09402241557836533,-1.0,2.92936995761891,26.0
-0.0926557257771492,-1.0,3.060769810924019,27.0
-0.09390675276517868,-1.0,3.191662783283089,28.0
-0.09338606148958206,-1.0,3.325562546597439,29.0
-0.09438448399305344,-1.0,3.4591797835830427,30.0
-0.09353367984294891,-1.0,3.594139315037178,31.0
-0.09516165405511856,-1.0,3.7278292766538206,32.0
-0.09500724077224731,-1.0,3.862595887509389,33.0
-0.09477198123931885,-1.0,3.996184002999418,34.0
-0.09386594593524933,-1.0,4.131239214424868,35.0
-0.09404458105564117,-1.0,4.266839491847268,36.0
-0.09376155585050583,-1.0,4.398360629803586,37.0
-0.09163754433393478,-1.0,4.5330581372740655,38.0
-0.09306710213422775,-1.0,4.66585657628573,39.0
-0.09301336854696274,-1.0,4.796058110816004,40.0
-0.09462942183017731,-1.0,4.92875429498633,41.0
-0.09323906153440475,-1.0,5.062302456425851,42.0
-0.0913967490196228,-1.0,5.1973651579725475,43.0
-0.09113316237926483,-1.0,5.332385357416847,44.0
-0.09145790338516235,-1.0,5.4647942059603825,45.0
-0.0919073075056076,-1.0,5.600354201733119,46.0
-0.09122354537248611,-1.0,5.73488429010782,47.0
-0.0907321348786354,-1.0,5.869841351461186,48.0
-0.08968573808670044,-1.0,6.005163155898345,49.0
-0.09016414731740952,-1.0,6.1380977615336665,50.0
-0.08982644975185394,-1.0,6.272679472338108,51.0
-0.0896652340888977,-1.0,0.12068561654696033,52.0
-0.06246233731508255,-0.6609218120574951,0.2077735180679874,53.0
-0.05257357656955719,-0.6280555725097656,0.2922436372811329,54.0
-0.05320962518453598,-0.6772704124450684,0.383244686915345,55.0
