yaw_change,time
0,0
0.004553436469973681,1.0
0.009479038653391522,2.0
0.014082336405466068,3.0
0.017975741375691502,4.0
0.02139411250482812,5.0
0.02446718045594862,6.0
0.027252127640873737,7.0
0.02967056461617751,8.0
0.034161793926151346,9.0
0.03777221433694102,10.0
0.04178242458304012,11.0
0.045942130483882355,12.0
0.05025311804513009,13.0
0.05471495648423048,14.0
0.05932139188477363,15.0
0.06407044179461562,16.0
0.06895022096985873,17.0
0.07395366957456198,18.0
0.07907360425348282,19.0
0.08399140976244969,20.0
0.08832651246888451,21.0
0.09231812573241095,22.0
0.09614793455228246,23.0
0.10091667524702572,24.0
0.10585063353720868,25.0
0.11084067521171717,26.0
0.11590053753451339,27.0
0.12071437484342804,28.0
0.12485523769179574,29.0
0.12924602480590616,30.0
0.13347944602199302,31.0
0.13790995822290927,32.0
0.14239968260250443,33.0
0.14701249971838298,34.0
0.15174320655401444,35.0
0.15650053825431745,36.0
0.1623465768071866,37.0
0.16758716642903654,38.0
0.17226154492353862,39.0
0.17729713727525553,40.0
0.18239485745329484,41.0
0.18728219407378635,42.0
0.19230706152467397,43.0
0.19737442035587038,44.0
0.2024492869851165,45.0
0.20640825628689694,46.0
0.210660074256674,47.0
0.21511783968254158,48.0
0.21971479710584493,49.0
0.22481742432653834,50.0
0.22971040721996897,51.0
0.2349698789496783,52.0
0.24119368595367274,53.0
0.24724185672815763,54.0
0.2522260263379401,55.0
0.2570534019715964,56.0
0.2619633353549693,57.0
0.2668905496539265,58.0
0.2718379878369479,59.0
0.27695894118055314,60.0
0.2816046388578028,61.0
0.2866247375619111,62.0
0.291976553056618,63.0
0.29547529323147453,64.0
0.3000074126517295,65.0
0.30466405046976164,66.0
0.3094726909359453,67.0
0.314287249592823,68.0
0.3188269900359048,69.0
0.32354186194649326,70.0
0.32873904536158133,71.0
0.3341822684631561,72.0
0.33896220560626106,73.0
0.34377993690978464,74.0
0.3486282184532837,75.0
0.353493360079254,76.0
0.35837649263469495,77.0
0.3632774294335743,78.0
0.3681975711689445,79.0
0.373135433294117,80.0
0.3780895100020817,81.0
0.383058078486454,82.0
0.38831137737164945,83.0
0.39225620987195403,84.0
0.39751548256598856,85.0
0.40172841483275723,86.0
0.40638855671847113,87.0
0.41106534192109045,88.0
0.41576890795625226,89.0
0.4204978010657849,90.0
0.42524967212490117,91.0
0.43002248133965837,92.0
0.43481925330511034,93.0
0.43963044005953616,94.0
0.44445847805028044,95.0
0.44930292696910107,96.0
0.4541627627224295,97.0
0.4590357913533993,98.0
0.4639210796199716,99.0
0.46881765952738874,100.0
0.4737923812022551,101.0
0.4786656987127094,102.0
0.482915304187874,103.0
0.4875273768228019,104.0
0.4921614632097515,105.0
0.49682059777553583,106.0
0.501503986321153,107.0
0.5062098126744946,108.0
0.5109356577777572,109.0
0.5156787301813762,110.0
0.5204301552280184,111.0
0.5251928130695401,112.0
0.5299861950438655,113.0
0.5347937195078253,114.0
0.5396135423370747,115.0
0.5444445871286815,116.0
0.5494399911214979,117.0
0.5539090834055738,118.0
0.5587193063031893,119.0
0.5634544651394439,120.0
0.5681703534785676,121.0
0.572929396228758,122.0
0.5769862912358654,123.0
0.5814775800766911,124.0
0.5861193205643856,125.0
0.5906151477803138,126.0
0.595242034415,127.0
0.5998791132934702,128.0
0.6046858104630939,129.0
0.6094355492899427,130.0
0.6152261431747328,131.0
0.6208180802267768,132.0
0.6272070351285334,133.0
