X,mean_prediction,standard_deviation
0.0,0.15930251040333587,0.24321176741888642
0.0002831355038895,0.8891783505082458,0.2336728852769159
0.0006355749087763,1.7970449058550457,0.22237781135630144
0.0010130286302678,2.7685385097518065,0.21098723124723742
0.001408909783923,3.786571205262362,0.19981842509139183
0.0018197470906673,4.84211215414507,0.18906165004847786
0.0022440361316522,5.931207929732636,0.1788343646369082
0.0026813684243236,7.052728343552985,0.16921763104609178
0.0031319442996163,8.207106434283219,0.16027483692109978
0.0035963218291528,9.395689056926926,0.1520600286543163
0.0040589163127692,10.578561086981722,0.14485796599640696
0.0044447343233539,11.564251658427565,0.13957321191188868
0.0047501899410515,12.344084774684461,0.13583664161447723
0.0051019934261049,13.241654179296575,0.1320020505006185
0.0054515835197904,14.132959084689901,0.12866468710868698
0.0058032759086135,15.029012430247235,0.1257551312770775
0.0061609757231939,15.939752546217505,0.12322532218472175
0.0065261443289127,16.86887562409686,0.12105432298012005
0.0068995405636405,17.818282768169297,0.11922554259319872
0.007281624079286,18.78911066744007,0.11772119808821992
0.0076729278073727,19.782679699447556,0.11651988626598936
0.0080739665612836,20.800261577576578,0.11559725967352881
0.008485274405618,21.843174370517488,0.11492624591784784
0.0089075101769157,22.913049764296545,0.11447746221074433
0.0093413681079509,24.011605937431767,0.11422004830867866
0.0097876059765572,25.14071868032883,0.1141221844173662
0.0102470436805238,26.302417505628682,0.11415164289789892
0.0107017006995094,27.4512403237691,0.11426996852631964
0.0111041484172705,28.467507065230052,0.11442069548907347
0.0115248697987761,29.52930152071108,0.11460144622457825
0.0118307711318906,30.300934178631994,0.11473675268786078
0.0121860869972659,31.19681881100834,0.11488865660440714
0.0125402573762465,32.08940352274652,0.1150266013779739
0.0128982376251462,32.99118443853425,0.11514542278706791
0.0132618570407498,33.90676625870091,0.11523909793990726
0.013632626853124,34.839946127851135,0.11530176631628616
0.0140121285682528,35.79469246204104,0.11532769015091818
0.0144008377732942,36.77218773348261,0.11531122168892695
0.0147993165292425,37.77383123777338,0.11524713915813564
0.0152080437384519,38.80081273588286,0.11513070942124035
0.0156276315354041,39.85465650923561,0.11495768639189455
0.016058777977846,40.93710221100753,0.11472432077074714
0.0165020108944936,42.049462056518905,0.11442757439705117
0.0169442155892534,43.158829995997394,0.11407682190818019
0.017322881009811,44.10848685062024,0.11373561390134647
0.0177445145637609,45.16558739808909,0.1133144864676425
0.0181709484074349,46.23440401345897,0.11284807597354085
0.0185862994365553,47.27515397830393,0.1123585497319164
0.0188913127401923,48.03925928922058,0.11197925138811068
0.0192492524663793,48.93578108288068,0.11151516913414712
0.0196105085124896,49.84043222249966,0.11102859208529033
0.0199756646396972,50.754681868377475,0.11052098063102632
0.0203488835559115,51.68895719395891,0.10998871133437894
0.0207247478702231,52.62970353692867,0.10944194413405517
0.021085511056105,53.532523457985235,0.10890981283352123
0.0214639032193695,54.479336918470835,0.10834684404681771
0.0218541959943335,55.455810046982606,0.10776401660913311
0.022252803990137,56.452978697953995,0.10716967929883998
0.0226887858272642,57.54353598216949,0.1065243202364323
0.0231349515333928,58.65947226485082,0.10587286311720084
0.0235895041729344,59.79630938545938,0.10522242873514513
0.0239705785834508,60.749334335685944,0.10469014400252095
0.0243788040860833,61.770233580999275,0.10413549924430764
0.0247911817744287,62.80150363311441,0.10359374332830266
0.0252114571570697,63.8525273903972,0.1030628384870062
0.0256415965143203,64.92823986903,0.10254355829464752
0.0260666411031942,65.99124923029467,0.10205595410334835
0.0263906580231723,66.80163082692798,0.10170209714702834
0.0267645992245695,67.73692471682944,0.10131355670668579
0.0271285935237218,68.64740053292553,0.10095623959723823
0.0274860830419686,69.54167404357759,0.1006256764721502
0.0278422587763414,70.43273794162906,0.10031656317203123
0.028218698035868,71.37458977301048,0.10001183725624166
0.0286024382767606,72.33481851989882,0.09972431081176701
0.0290306136890146,73.40638126859585,0.09943065968779986
0.0294670747898465,74.49885178742761,0.09916016672970993
0.0299291852401243,75.65572934627517,0.09890449789288269
0.0304150413321029,76.87230142484805,0.09866831358640049
0.0307736722111633,77.77047947503661,0.09851437630502966
0.0311880745397549,78.8085317003447,0.09835687224309772
0.0315830993145224,79.79825106545195,0.09822585833923897
0.0319829535186728,80.80028636338602,0.09811092152328156
