Yaw_change,time
0.0,0.0
0.002487228882951863,1.0
0.004326142187700465,2.0
0.006515879534008033,3.0
0.008770062669814005,4.0
0.011035343908219713,5.0
0.013309847217110883,6.0
0.01564510041181763,7.0
0.017979689046079977,8.0
0.020312389272073506,9.0
0.02264338588087911,10.0
0.024973241866153774,11.0
0.02730258054452126,12.0
0.029813018440917983,13.0
0.033247538075074204,14.0
0.03620207722557422,15.0
0.039137305181612736,16.0
0.04209217696639797,17.0
0.04508515015257033,18.0
0.047545808296924535,19.0
0.050079840226966335,20.0
0.05204748134928709,21.0
0.054051569103436926,22.0
0.05709170004012009,23.0
0.05991001058456915,24.0
0.06258443798571377,25.0
0.0652593420054274,26.0
0.06798302569028962,27.0
0.07076671788214557,28.0
0.07359256346044,29.0
0.07615258809298386,30.0
0.07860652974856265,31.0
0.08109012767405935,32.0
0.08360465333090687,33.0
0.08613692068927235,34.0
0.08867896072163362,35.0
0.09122652322527698,36.0
0.09377804616718834,37.0
0.09633304166007911,38.0
0.09889155471411229,39.0
0.10145401883075583,40.0
0.10399741333537013,41.0
0.10728206504365112,42.0
0.11014507171932131,43.0
0.11301858704937034,44.0
0.11595393850866903,45.0
0.11887027832664007,46.0
0.12143641583443805,47.0
0.12424599312390024,48.0
0.1268004194378775,49.0
0.12911360634922983,50.0
0.1315079291991917,51.0
0.13401336425791943,52.0
0.1364885894843258,53.0
0.13942741353881014,54.0
0.1422305523418236,55.0
0.14501558957759725,56.0
0.14782022394340122,57.0
0.15075919947070218,58.0
0.15360767985774187,59.0
0.15645925482576073,60.0
0.15917660612687515,61.0
0.16192086512714626,62.0
0.16465571182297162,63.0
0.16739641083960624,64.0
0.17014298863475893,65.0
0.1728956872185022,66.0
0.17565442787331892,67.0
0.17839803891090897,68.0
0.18157672576811598,69.0
0.18441400680683237,70.0
0.18721668921831824,71.0
0.19003895640044727,72.0
0.19287032570916207,73.0
0.19572252625650885,74.0
0.19859091664098227,75.0
0.20147666612513862,76.0
0.20437873711523896,77.0
0.20729631139389904,78.0
0.2102076578319052,79.0
0.2126957866833943,80.0
0.2157483416389227,81.0
0.21803373858633743,82.0
0.2201840303720852,83.0
0.22239125130126317,84.0
0.2253675898784487,85.0
0.2283805288272521,86.0
0.23120885805229563,87.0
0.2340325155544415,88.0
0.23686634088945516,89.0
0.23971096155813268,90.0
0.24256749748956705,91.0
0.24543602427920433,92.0
0.24831647646126634,93.0
0.25121041600143007,94.0
0.2540750233749796,95.0
0.25681074414875166,96.0
0.2600437640487195,97.0
0.26285761595809853,98.0
0.2656340785302372,99.0
0.26843232362370584,100.0
0.2712409547732916,101.0
0.274060672596597,102.0
0.27689130232838177,103.0
0.27973337133822235,104.0
0.2825873474886337,105.0
0.2854527260509394,106.0
0.2883291483358953,107.0
0.2912156228631709,108.0
0.29411245648441264,109.0
0.29701927493012664,110.0
0.29991235399449173,111.0
0.3024352538110389,112.0
0.3049624534045533,113.0
0.3078031384416117,114.0
0.31079914839451167,115.0
0.3135906557377038,116.0
0.3164023814552011,117.0
0.3191943548761973,118.0
0.32200472680297937,119.0
0.324825973264748,120.0
0.3276566665608376,121.0
0.3304713234152462,122.0
0.33362014442968,123.0
0.33640530928494355,124.0
0.33914048690118653,125.0
0.34190145900487107,126.0
0.34467471741508565,127.0
0.34745446749349435,128.0
0.35023676735826015,129.0
0.35303369215198566,130.0
0.35584070548673935,131.0
0.3586592069373885,132.0
0.36148417350357476,133.0
0.36431954695891033,134.0
0.36715688143659875,135.0
0.3700025379228185,136.0
0.37285369702049326,137.0
0.37571271976662607,138.0
0.37858016953974616,139.0
0.3814556328697839,140.0
0.3843371065528391,141.0
0.38722427570797063,142.0
0.3901171147151646,143.0
0.3930152769136868,144.0
0.3959960036402218,145.0
0.3987892791732113,146.0
0.4015963275129837,147.0
0.4043968067352423,148.0
0.4071638283454595,149.0
0.41034919952105564,150.0
0.41312035041935413,151.0
0.4158611710557365,152.0
0.4186084081824069,153.0
0.42136614694546803,154.0
0.4241169335090029,155.0
0.4268819465769593,156.0
0.42965526462146225,157.0
0.43243407250261523,158.0
0.43522193875023873,159.0
0.4380193160443767,160.0
0.4408165646003795,161.0
0.4436294933003535,162.0
0.446434747965231,163.0
0.44925398316938675,164.0
0.45207674556061767,165.0
0.4549029969382225,166.0
0.4577356696831607,167.0
0.4605727841009538,168.0
0.46341446218724053,169.0
0.4662600261168358,170.0
0.4691095148688899,171.0
0.47196268857179163,172.0
0.4748190942623068,173.0
0.47767855605825366,174.0
0.48054093199756037,175.0
0.48339825254933044,176.0
0.48669761814686646,177.0
0.48954321200196943,178.0
0.49188013483545917,179.0
0.4952129295375828,180.0
0.49798294840786306,181.0
0.5007404859660541,182.0
0.5034972001066054,183.0
0.5062611622048812,184.0
0.5090304463718414,185.0
0.5117994851192164,186.0
0.5145744682175595,187.0
0.5173555157045389,188.0
0.5201374294539178,189.0
0.5229303998752728,190.0
0.525719672881826,191.0
0.5285154878261236,192.0
0.5313185816473915,193.0
0.5341201537836471,194.0
0.5369274212864877,195.0
0.5397363932738448,196.0
0.5425460001225464,197.0
0.5453582363389822,198.0
0.5481738468894016,199.0
0.5509916570027958,200.0
0.5538113527574425,201.0
0.5566330927305673,202.0
0.5594063060424707,203.0
0.5627548547438834,204.0
0.5655836062354287,205.0
0.5684016603280512,206.0
0.5712051121890299,207.0
0.5740167629910685,208.0
0.5768326577268044,209.0
0.5796517705094517,210.0
0.5824763805727575,211.0
0.5849472400545452,212.0
0.5877148984638805,213.0
0.5902238347083536,214.0
