Yaw_change,time
0.0,0.0
0.02209490881706589,1.0
0.03999199040538421,2.0
0.0642796581371256,3.0
0.08861588147221523,4.0
0.10777249495293943,5.0
0.13915159023977824,6.0
0.16234601574700822,7.0
0.18616703954888086,8.0
0.21238209600400146,9.0
0.24094042178002853,10.0
0.2674307776609397,11.0
0.29611980746135197,12.0
0.32495674675599323,13.0
0.353133060392905,14.0
0.3823323973814049,15.0
0.4103617041606062,16.0
0.43855712754779486,17.0
0.46711549102109623,18.0
0.49500962692120687,19.0
0.5208597765977321,20.0
0.5508907906252732,21.0
0.5699748287015757,22.0
0.6008272916911575,23.0
0.619612116153472,24.0
0.6479243155119171,25.0
0.688854157210928,26.0
0.7188082703384259,27.0
0.7447525529723178,28.0
0.7811079876320813,29.0
0.8105620401477316,30.0
0.8402636601781717,31.0
0.869778562903498,32.0
0.8877201374491777,33.0
0.9140972550427301,34.0
0.9455917926739134,35.0
0.9738824673773997,36.0
1.003381108992529,37.0
1.033807539571292,38.0
1.0619793660072336,39.0
1.0930152710528633,40.0
1.1233151962218,41.0
1.1519577951724198,42.0
1.1819398788178481,43.0
1.211116638516541,44.0
1.2178186686183905,45.0
1.2422228926562102,46.0
1.2733485074490771,47.0
1.3030116604371962,48.0
1.332581308970923,49.0
1.3609181785274018,50.0
1.3870505317914315,51.0
1.4179687753679933,52.0
1.4503441888175062,53.0
1.4773381550192424,54.0
1.5091262558906153,55.0
1.5401312145752777,56.0
1.5696641920626322,57.0
1.580082469851699,58.0
1.6031147320123522,59.0
1.6290756850664305,60.0
1.648592393993908,61.0
1.6757724569506054,62.0
1.7020971629706787,63.0
1.7279927970155033,64.0
1.7549483854696462,65.0
1.776596818708276,66.0
1.8033024256185806,67.0
1.8320416451531447,68.0
1.8597620719134518,69.0
1.8865273086113843,70.0
1.9154150255049447,71.0
1.9428245049701385,72.0
1.972687322964313,73.0
2.001499744068039,74.0
2.030283189341299,75.0
2.0580721121693646,76.0
2.0839493984187296,77.0
2.1225877626620284,78.0
2.152446269204694,79.0
2.1774452836080957,80.0
2.205429552934429,81.0
2.236142647480501,82.0
2.2626493158645067,83.0
2.2902960478847167,84.0
2.3190990625786645,85.0
2.347680349755841,86.0
2.3764068552829185,87.0
2.4048914271394692,88.0
2.4322521826378005,89.0
2.462380118008183,90.0
2.4905883811337333,91.0
2.5181673520150833,92.0
2.548856445501952,93.0
2.577270727626196,94.0
2.6084059740133236,95.0
2.634601461870795,96.0
2.662996059830165,97.0
2.692614673825939,98.0
2.7230668854486617,99.0
2.750774248624327,100.0
2.78164696976661,101.0
2.8103852349449947,102.0
2.8276667732497076,103.0
2.85689131631339,104.0
2.884196999096114,105.0
2.9176704514714222,106.0
2.9476170966553226,107.0
2.962103937149428,108.0
2.999677650866823,109.0
3.026940774904998,110.0
3.056366657358752,111.0
3.090773024928474,112.0
3.115210505520784,113.0
3.143060850372163,114.0
3.17106346637569,115.0
3.1888378111589266,116.0
3.21548990211196,117.0
3.2402635397375077,118.0
3.2593371849407835,119.0
3.287503214559414,120.0
